Código;Descrição;Local
M61760B442HD;M6 17X6,0 4X100 ET42 HYPER DIAMOND;5E        
M61760F542HD;M6 17X6,0 5X112 ET42 HYPER DIAMOND;51D/6D    
M61770B440HD;M6 17X7,0 4X100 ET40 HYPER DIAMOND;5E        
M71450B335B;M7 14X5,0 3X100 ET35 BLACK;12D e SL3 
M71450B335BD;M7 14X5,0 3X100 ET35 BLACK DIAMOND;13D       
M81460G520;M8 14X6 5X114 ET20 BRUTA;C2        
M81460G520BD;M8 14X6,0 5X114 ET20 BLACK DIAMOND;13D / C2  
M81460G520FBD;M8 14X6,0 5X114 ET20 FACE BLACK DIAMON;8E / C2   
M81460G520P;M8 14X6,0 5X114 ET20 POLIDA;23E       
M81470G530;M8 14X7,0 5X114 ET30 BRUTA;C2        
M81470G530BD;M8 14X7,0 5X114 ET30 BLACK DIAMOND;10D / C2  
M81470G530FBD;M8 14X7,0 5X114 ET30 FACE BLACK DIAMON;8E        
M81470G530P;M8 14X7,0 5X114 ET30 POLIDA;
M81570G525;M8 15X7,0 5X114 ET25 BRUTA;C2        
M81570G525BD;M8 15X7,0 5X114 ET25 BLACK DIAMOND;25D       
M81570G525FBD;M8 15X7,0 5X114 ET25 FACE BLACK DIAMON;24D       
M81570G525P;M8 15X7,0 5X114 ET25 POLIDA;23E       
M81580G525;M8 15X8,0 5X114 ET25 BRUTA;23E       
M81580G525BD;M8 15X8,0 5X114 ET25 BLACK DIAMOND;25D       
M81580G525FBD;M8 15X8,0 5X114 ET25 FACE BLACK DIAMOND;23E       
M81580G525P;M8 15X8,0 5X114 ET25 POLIDA;23E       
MAG1870499108B;MAGNA 18X7,0 4X99/108 ET38 PRETO;C6        
MAG1870499108GB;MAGNA 18X7,0 4X99/108 ET38 GRAFITE BRILH;C6        
MAG18705100113SS;MAGNA 18X7,0 5X100/113 ET38 PRATA;
MK720805112SS;MK7 20X8,0 5X112 ET42 PRATA;C7D       
MOR15604108B;MORGAN 15X6,0 4X108 ET35 PRETO;
MOR15604108GBBD;MORGAN 15X6,0 4X108 ET35 GRAFITE BRILH B;C6D       
MOR15604108SS;MORGAN 15X6,0 4X108 ET35 PRATA;C9 D      
MOR1560499B;MORGAN 15X6,0 4X99 ET35 PRETO;C9 D      
MOR1560499BBD;MORGAN 15X6,0 4X99 ET35 PRETO BORDA DIAM;C6        
MOR1560499SS;MORGAN 15X6,0 4X99 ET35 PRATA;C9 D      
MOR17704108GBBD;MORGAN 17X7 4X108 ET38 GRAFITE BRI BORDA;C7        
MOR17704108SS;MORGAN 17X7 4X108 ET38 PRATA;C7        
MOR1770499B;MORGAN 17X7 4X99 ET38 PRETO;C6        
MOR1770499GBBD;MORGAN 17X7 4X99 ET38 GRAFITE BRILHO BOR;
MOR1770499SS;MORGAN 17X7 4X99 ET38 PRATA;C1-C6     
MOR17705100SS;MORGAN 17X7,0 5X100 ET38 PRATA;
MOR17705113BFBD;MORGAN 17X7 5X113 ET38 BLACK FOSCO BORD;C9        
MOR17705113OUROD;MORGAN 17X7 5X113 ET38 OURO V DIAMANTADO;C6D       
MOR17705113SS;MORGAN 17X7 5X113 ET38 PRATA;
NA0000007;PNEU 235/60R14 96H N729 WL LETRA BRANCA;C8        
NA000007;PNEU AUTO P215/70R15 98HN 605;C8        
NA000026;PNEU 225/70R15 CW20 FAIXA MAIS LARGA;
NA000028;PNEU AUTO 275/60R15 N-729 WL LETRAS BRAN;
NA0001;PNEU NOVO AUTO 215/60R 14 91H RX-615 G/T;C12       
NA0002;PNEU NOVO AUTO 205/60R15 91H XR-611;C8 e C10  
NA0007;PNEU CMT P225/70R15 100H-605;C5        
NA001;PNEU NOVO AUTO 225/60R15 96V XR-611 G/T;C8 e C10  
NA0010;PNEU 255/60R15 102H N729 WL LETRA BRANCA;C12       
NA0011;PNEU 295/50R15 108H N729 WL LETRA BRANCA;C12       
NA0018;PNEU AUTO 165/80R15 87T NA 1 WR EUHA;C5        
NA0019;PNEU AUTO 205/70R14 98T NA-1 LXX EUHA;C6 e C10  
NA003;PNEU 175/80R13 86S N-605 WR FAIXA BRANCA;C7        
NA004;PNEU 215/60R15 94H N729 WL LETRA BRANCA;C8 e C12  
NA006;PNEU 225/60R14 94H N729 WL LETRA BRANCA;C7        
NA008;PNEU 235/60R15 98H N729 WL LETRA BRANCA;C8        
NA009;PNEU 245/60R14 98H N729 WL LETRA BRANCA;C8        
NEW1570499108B;NEW SUNLINE 15X7,0 4X99/108 ET35 PRETO;SALA 5    
NEW1770499108B;NEW SUNLINE 17X7,0 4X99/108 ET38 PRETO;C9        
NEW1770499108GB;NEW SUNLINE 17X7,0 4X99/108 ET38 GRAFITE;C9        
NEW1770499108SS;NEW SUNLINE 17X7,0 4X99/108 ET38 PRATA;C7        
NEW1770499114B;NEW SUNLINE 17X7,0 4X99/114 ET38 PRETO;
NEW17705100110B;NEW SUNLINE 17X7,0 5X100/110 ET38 PRETO;
NEW17705100110GB;NEW SUNLINE 17X7,0 5X100/110 ET38 GRAFIT;C9D       
NEW17705100113B;NEW SUNLINE 17X7,0 5X100/113 ET38 PRETO;C9E       
NEW17705100113GB;NEW SUNLINE 17X7,0 5X100/113 ET38 GRAFIT;
NEW17705100113SS;NEW SUNLINE 17X7,0 5X100/113 ET38 PRATA;C9        
NEW1870499108B;NEW SUNLINE 18X7,0 4X99/108 ET38 PRETO;C6        
NEW1870499108GB;NEW SUNLINE 18X7,0 4X99/108 ET38 GRAFITE;C9        
NEW1870499108SS;NEW SUNLINE 18X7,0 4X99/108 ET38 PRATA;C7        
NEW187051005113B;NEW SUNLINE 18X7,0 5X100/113 ET38 PRETO;C9D       
NEW187051005113GB;NEW SUNLINE 18X7,0 5X100/113 ET38 GRAFIT;C7        
NEW187051005113SS;NEW SUNLINE 18X7,0 5X100/113 ET38 PRATA;SALA 5    
NEW187051055108B;NEW SUNLINE 18X7,0 5X105/108 ET38 PRETO;
NEW187051055108SS;NEW SUNLINE 18X7,0 5X105/108 ET38 PRATA;C9D       
NV231560F538SS;NV23 15X6,0 5X112 ET38 SILVER STAR;
NV231560P438SS;NV23 15X6,0 4X130 ET38 SILVER STAR;
NV411870B540BD;NV41 18X7,0 5X100 ET40 BLACK DIAMOND;C7        
NV411870B540BDS;NV41 18X7,0 5X100 ET40 BLACK DIAM SMOKE;C7        
NV471570499108SD;NV47 15X7 4X99/108 ET32 PRATA DIAMANTADO;C4        
NV471860DP;NV47 18X6,0 4X99 ET28 DIAM PRATA;C1 e SL5  
NV4916705120GR;NV49 16X7,0 5X120 ET50 GRAFITE;C9 D      
NVFITTI15603150SD;NV FITTI 15X6,0 3X150 ET 24 SILVER DIAM;C9 E      
OPALADIP17704100HD;OPALA DIPLOMATA 17X7 4X100 HD;
ORB17604100SS;ORBITAL 17X6 4X100 ET35 PRATA;
ORION15554130D;ORION 15X5,5 4X130 ET30 DIAMOND;C9 E      
ORION15804130D;ORION 15X8,0 4X130 ET0 DIAMOND;24D ( T2 )
ORION15805114D;ORION 15X8,0 5X114 ET0 DIAMOND;24D ( T2 )
ORION15805139D;ORION 15X8,0 5X139 ET0 DIAMOND;25D ( T2 )
ORION15806139D;ORION 15X8,0 6X139 ET0 DIAMOND;C9 E      
ORION16705114D;ORION 16X7,0 5X114 ET0 DIAMOND;C9 E      
ORION16705120D;ORION 16X7,0 5X120 ET0 DIAMOND;C9        
ORION16705139D;ORION 16X7,0 5X139 ET0 DIAMOND;C9 E      
ORION16706139D;ORION 16X7,0 6X139 ET0 DIAMOND;C9 E      
P1031560A438B;FASTBACK 15X6,0 4X98 ET38 BLACK;
P80901455499BD;ARGO TREKKING 14X5,5 4X98 ET36 BLACK DIA;
PEUGEOT1870D425BD;PEUGEOT 18X7,0 4X108 ET25 BLACK DIAMOND;
PIN15704100BD;PINGO 15X7,0 4X100 ET30 PRETO DIAMANTADO;C7        
PIN17704100BD;PINGO 17X7,0 4X100 ET30 PRETO DIAMANTADO;C7        
Q820805113BD;Q8 20X8,0 5X113 ET40 PRETO DIAMANTADO;C6E       
R101355B436BD;R10 13X5,5 4X100 ET36 BLACK DIAMOND;10D       
R101355B436GD;R10 13X5,5 4X100 ET36 GRAPHITE DIAMOND;8E        
R101460B438BD;R10 14X6,0 4X100 ET38 BLACK DIAMOND;13E       
R101460B438GD;R10 14X6,0 4X100 ET38 GRAPHITE DIAMOND;10D       
R101560B438BD;R10 15X6,0 4X100 ET38 BLACK DIAMOND;27D,E     
R141560A442GD;R14 15X6,0 4X98 ET42 GRAPHITE DIAMOND;37D       
R141770A442GD;R14 17X7,0 4X98 ET42 GRAPHITE DIAMOND;53D       
R151560B445GF;R15 15X6,0 4X100 ET45 GRAPHITE FOSCO;32D       
R151560B445SS;R15 15X6,0 4X100 ET45 SILVER STAR;28D       
R151770B441GF;R15 17X7,0 4X100 ET41 GRAPHITE FOSCO;5E        
R151770B441SS;R15 17X7,0 4X100 ET41 SILVER STAR;3D e 5E   
R161460B443GF;R16 14X6,0 4X100 ET43 GRAPHITE FOSCO;12D       
R161460B443SS;R16 14X6,0 4X100 ET43 SILVER STAR;13D       
R161560B443GF;R16 15X6,0 4X100 ET43 GRAPHITE FOSCO;30D       
R161560B443SS;R16 15X6,0 4X100 ET43 SILVER STAR;40E/41D   
R171560A441GF;R17 15X6,0 4X98 ET41 GRAPHITE FOSCO;38E       
R171560A441SS;R17 15X6,0 4X98 ET41 SILVER STAR;33D       
R181460A438GD;R18 14X6,0 4X98 ET38 GRAPHITE DIAMOND;11D       
R181560A441GD;R18 15X6,0 4X98 ET41 GRAPHITE DIAM F.L;32D       
R201460A442GD;R20 14X6,0 4X98 ET42 GRAPHITE DIAMOND;10E       
R201560A442GD;R20 15X6,0 4X98 ET42 GRAPHITE DIAMOND;39D,E     
R201770A445GD;R20 17X7,0 4X98 ET45 GRAPHITE DIAMOND;51E       
R231560A435GD;R23 15X6,0 4X98 ET35 GRAPHITE DIAM F.L;37E       
R231770A441GD;R23 17X7,0 4X98 ET41 GRAPHITE DIAM F.L;6D        
R261460B449GF;R26 14X6,0 4X100 ET49 GRAPHITE FOSCO;12D       
R261460B449SS;R26 14X6,0 4X100 ET49 SILVER STAR;13D       
R261560B449GF;R26 15X6,0 4X100 ET49 GRAPHITE FOSCO;31/36/37  
R261560B449SS;R26 15X6,0 4X100 ET49 SILVER STAR;28E       
R261770B443SS;R26 17X7,0 4X100 ET43 SILVER STAR F.L;50D       
R291770B440BD;R29 17X7,0 4X100 ET40 BLACK DIAMOND;1D        
R291770G540BD;R29 17X7,0 5X114,3 ET40 BLACK DIAMOND;50D,E     
R291870B440BD;R29 18X7,0 4X100 ET40 BLACK DIAMOND F.L;RUA 26 E  
R291870G540BD;R29 18X7,0 5X114 ET40 BLACK DIAMOND F.L;54D       
R292075G545BD;R29 20X7,5 5X114 ET45 BLACK DIAMOND;15E       
R321670R627GD;R32 16X7,0 6X139,7 ET27 GRAF DIAM. F.L;7D        
R321670R627SS;R32 16X7,0 6X139,7 ET27 SILVER STAR F.L;7D        
R371670R623GF;R37 16X7,0 6X139,7 ET23 GRAPHITE FOSCO;1D e 2D   
R371670R623SS;R37 16X7,0 6X139,7 ET23 SILVER STAR;5E e 6E   
R371770R623GF;R37 17X7,0 6X139,7 ET23 GRAPHITE FOSCO;67D       
R371770R623SS;R37 17X7,0 6X139,7 ET23 SILVER STAR;51D / 67D 
R372085R633SS;R37 20X8,5 6X139,7 ET33 SILVER STAR F.L;19D       
R372290R640SS;R37 22X9,0 6X139 ET40 SILVER STAR F.L;RUA 22D   
R391355A440BD;R39 13X5,5 4X98 ET40 BLACK DIAMOND;14E       
R391355B440BD;R39 13X5,5 4X100 ET40 BLACK DIAMOND;8E        
R391355D440BD;R39 13X5,5 4X108 ET40 BLACK DIAMOND;10E       
R391460A440BD;R39 14X6,0 4X98 ET40 BLACK DIAMOND;13D       
R391460B440BD;R39 14X6,0 4X100 ET40 BLACK DIAMOND;10D e 13D 
R391460D440BD;R39 14X6,0 4X108 ET40 BLACK DIAMOND;10E/12D   
R411560D425BD;R41 15X6,0 4X108 ET25 BLACK DIAMOND;39D       
R411560D425GD;R41 15X6,0 4X108 ET25 GRAPHITE DIAMOND;38D       
R411560D425GF;R41 15X6,0 4X108 ET25 GRAPHITE FOSCO;30D       
R411560D425SS;R41 15X6,0 4X108 ET 25 SILVER STAR;33E       
R411770D425GF;R41 17X7,0 4X108 ET25 GRAPHITE FOSCO;44E       
R411770D425SS;R41 17X7,0 4X108 ET25 SILVER STAR;5E e 6E   
R421460B439BD;R42 14X6,0 4X100 ET39 BLACK DIAMOND;13D       
R421560B445BD;R42 15X6,0 4X100 ET45 BLACK DIAMOND;27D       
R421560B445SD;R42 15X6,0 4X100 ET45 SILVER DIAMOND;
R431460B439GF;R43 14X6,0 4X100 ET39 GRAPHITE FOSCO;10E       
R431460B439SS;R43 14X6,0 4X100 ET39 SILVER STAR;13D       
R451460B439GD;R45 14X6,0 4X100 ET39 GRAPHITE DIAMOND;RUA 11E   
R451460B539GD;R45 14X6,0 5X100 ET39 GRAPHITE DIAMOND;11D       
R451560B440BD;R45 15X6,0 4X100 ET40 BLACK DIAMOND;32E       
R451560B440GD;R45 15X6,0 4X100 ET 40 GRAPHITE DIAMOND;33/40D    
R451560B540GD;R45 15X6,0 5X100 ET40 GRAPHITE DIAMOND;20E       
R451770B440BD;R45 17X7,0 4X100 ET40 BLACK DIAMOND F.L;43E       
R451770B440GD;R45 17X7,0 4X100 ET40 GRAPHITE DIAM F.L;4E        
R451770B540GD;R45 17X7,0 5X100 ET40 GRAPHITE DIAMOND;1E        
R461770B441BD;R46 17X7,0 4X100 ET41 BLACK DIAMOND;RUA 2D    
R461770B541BD;R46 17X7,0 5X100 ET41 BLACK DIAMOND;1E        
R461770F541BD;R46 17X7,0 5X112 ET41 BLACK DIAMOND;5E        
R501460B428BD;R50 14X6,0 4X100 ET28 BLACK DIAMOND;11D       
R501460B428SS;R50 14X6,0 4X100 ET28 SILVER STAR;12E       
R511770B441GF;R51 17X7,0 4X100 ET41 GRAPHITE FOSCO;50E       
R511770B441SS;R51 17X7,0 4X100 ET41 SILVER STAR;5D 49E 50E
R532085R635GD;R53 20X8,5 6X139 ET35 GRAPHITE DIAM F.L;20D       
R532085R635HG;R53 20X8,5 6X139 ET35 HYPER GLOSS F.L;15E       
R532290R640GD;R53 22X9,0 6X139 ET40 GRAPHITE DIAMOND;34E       
R532290R640HG;R53 22X9,0 6X139 ET40 HYPER GLOSS;35D       
R541770B440BD;R54 17X7,0 4X100 ET40 BLACK DIAMOND;10D       
R541770B440GD;R54 17X7,0 4X100 ET40 GRAPHITE DIAMOND;7D        
R541770L540BD;R54 17X7,0 5X120 ET40 BLACK DIAMOND;3E        
R541770L540GD;R54 17X7,0 5X120 ET40 GRAPHITE DIAMOND;1D e 2D   
R541870B440GD;R54 18X7,0 4X100 ET40 GRAPHITE DIAM F.L;
R541870C540GD;R54 18X7,0 5X105 ET40 GRAPHITE DIAM F.L;18E       
R541870G540BD;R54 18X7,0 5X114 ET40 BLACK DIAMOND F.L;56E       
R541870G540GD;R54 18X7,0 5X114 ET40 GRAPHITE DIAM F.L;26D       
R541870L540BD;R54 18X7,0 5X120 ET40 BLACK DIAMOND F.L;61D       
R541870L540GD;R54 18X7,0 5X120 ET40 GRAPHITE DIAM F.L;26E e 27D 
R542075F540BD;R54 20X7,5 5X112 ET40 BLACK DIAMOND;R 28D     
R542075G540BD;R54 20X7,5 5X114 ET40 BLACK DIAMOND;19D       
R542075L540BD;R54 20X7,5 5X120 ET40 BLACK DIAMOND;19E       
R542075L540GD;R54 20X7,5 5X120 ET40 GRAPHITE DIAMOND;20D       
R561770B440GD;R56 17X7,0 4X100 ET40 GRAPHITE DIAMOND;6E        
R561770L540GD;R56 17X7,0 5X120 ET40 GRAPHITE DIAMOND;R 5E      
R561870B440GD;R56 18X7,0 4X100 ET40 GRAPHITE DIAMOND;
R601460A435BD;R60 14X6,0 4X98 ET35 BLACK DIAMOND F.L;10E       
R61560B440SS;R6 15X6,0 4X100 ET40 SILVER STAR;32D/38E   
R61760B435SS;R6 17X6,0 4X100 ET35 SILVER STAR;C9E       
R621560D425BD;R62 15X6,0 4X108 ET25 BLACK DIAMOND F.L;33E       
R621560D425GD;R62 15X6,0 4X108 ET25 GRAPHITE DIAM F.L;17E       
R621770D425BD;R62 17X7,0 4X108 ET25 BLACK DIAMOND F.L;7D        
R621770D425GD;R62 17X7,0 4X108 ET25 GRAPHITE DIAM F.L;1D        
R631460B436SS;R63 14X6,0 4X100 ET36 SILVER STAR;12E       
R641660B539B;R64 16X6,0 5X100 ET39 BLACK;5D e 6D   
R641660B539GD;R64 16X6,0 5X100 ET39 GRAPHITE DIAMOND;6D        
R651560B443GD;R65 15X6,0 4X100 ET43 GRAPHITE DIAM F.L;28D       
R651560B543GD;R65 15X6,0 5X100 ET43 GRAPHITE DIAM . F.;34D       
R661460D430B;R66 14X6,0 4X108 ET30 BLACK;11D       
R661460D430HG;R66 14X6,0 4X108 ET30 HYPER GLOSS;13D       
R661560D436B;R66 15X6,0 4X108 ET36 BLACK;27E       
R661560D436HG;R66 15X6,0 4X108 ET36 HYPER GLOSS;31D/32D   
R662075B440GD;R66 20X7,5 4X100 ET 40 GRAPHITE DIAMOND;
R662075B440HD;R66 20X7,5 4X100 ET40 HYPER DIAMOND;
R662075B540BG;R66 20X7,5 5X100 ET40 BLACK GLOSS;
R682080R633SS;R68 20X8,0 6X139 ET 33 SILVER STAR;
R682290R640SS;R68 22X9,0 6X139 ET40 SILVER STAR;
R701870D538HG;R70 18X7,0 5X108 ET38 HYPER GLOSS;
R702075B538SS;R70 20X7,5 5X100 ET38 SILVER STAR;
R702075G538HG;R70 20X7,5 5X114 ET38 HYPER GLOSS;
R71460B438GF;R7 14X6,0 4X100 ET38 GRAFITE FOSCO;10E       
R71460B438SS;R7 14X6,0 4X100 ET38 SILVER STAR;12E       
R71560B438GF;R7 15X6,0 4X100 ET38 GRAPHITE FOSCO F.L;39D       
R71560B438SS;R7 15X6,0 4X100 ET38 SILVER STAR F.L;30E       
R71560B538SS;R7 15X6,0 5X100 ET38 SILVER STAR F.L;32E       
R721670R625GD;R72 16X7,0 6X139,7 ET25 GRAPHITE DIAMOND;1E        
R721770R625GD;R72 17X7,0 6X139,7 ET25 GRAPHITE DIAMOND;48E       
R721870R625GD;R72 18X7,0 6X139,7 ET25 GRAPHITE DIAMOND;62D       
R722085R635GD;R72 20X8,5 6X139,7 ET35 GRAPHITE DIAM FL;19E       
R722290R625GD;R72 22X9 6X139 ET25 GRAPHITE DIAM F.L;34E       
R731460A430GD;R73 14X6,0 4X98 ET30 GRAPHITE DIAMOND;11E       
R731460A430GFD;R73 14X6 4X98 ET30 GRAPHITE FOSCO DIAM;
R731560A435GD;R73 15X6,0 4X98 ET35 GRAPHITE DIAMOND;33D       
R731560A435GFD;R73 15X6 4X98 ET35 GRAPHITE FOS DIAM;27D       
R731770E537GFD;R73 17X7,0 5X110 ET37 GRAPHITE FOSCO DI;7D        
R741355B430BD;R74 13X5,5 4X100 ET30 BLACK DIAMOND;10E / 13D 
R741355B430GD;R74 13X5,5 4X100 ET30 GRAPHITE DIAMOND;13D       
R741460B430BD;R74 14X6,0 4X100 ET30 BLACK DIAMOND;13D       
R741560B436BD;R74 15X6,0 4X100 ET36 BLACK DIAMOND;37E       
R741770B438BD;R74 17X7,0 4X100 ET38 BLACK DIAMOND;6D        
R741770B438GD;R74 17X7,0 4X100 ET38 GRAPHITE DIAMOND;1E e 2D   
R751560B436BD;R75 15X6,0 4X100 ET36 BLACK DIAMOND;32E       
R751560B436GD;R75 15X6,0 4X100 ET36 GRAPHITE DIAMOND;29D       
R751770B438BD;R75 17X7,0 4X100 ET38 BLACK DIAMOND;52D       
R751770B438GD;R75 17X7,0 4X100 ET38 GRAPHITE DIAMOND;53D       
R761660E528GD;R76 16X6,0 5X110 ET28 GRAPHITE DIAM F.L;4D        
R761870E540GD;R76 18X7,0 5X110 ET40 GRAPHITE DIAM F.L;58D       
R781460B436GF;R78 14X6,0 4X100 ET36 GRAPHITE FOSCO;11D       
R781460B436SS;R78 14X6,0 4X100 ET36 SILVER STAR;12D       
R781560B442SS;R78 15X6,0 4X100 ET42 SILVER STAR;33E       
R791670R633B;R79 16X7,0 6X139 ET33 BLACK;7D        
R791670R633BD;R79 16X7,0 6X139,7 ET33 BLACK DIAMOND;3E e 6D   
R791870R635B;R79 18X7,0 6X139 ET35 BLACK;63E       
R791870R635BD;R79 18X7,0 6X139,7 ET35 BLACK DIAMOND;63E / 64D 
R792085R635BD;R79 20X8,5 6X139,7 ET35 BLACK DIAMOND;18D e 19D 
R792290R640BD;R79 22X9,0 6X139 ET40 BLACK DIAMOND F.L;23E       
R801460B439B;R80 14X6,0 4X100 ET39 BLACK;RUA 12D   
R801460B439BD;R80 14X6,0 4X100 ET39 BLACK DIAMOND;12D       
R801560B439B;R80 15X6,0 4X100 ET39 BLACK;32D       
R801560B439BD;R80 15X6,0 4X100 ET39 BLACK DIAMOND;33D       
R801560B439GD;R80 15X6,0 4X100 ET39 GRAPHITE DIAMOND;28D/40D   
R811460B435BD;R81 14X6,0 4X100 ET35 BLACK DIAMOND;11E       
R811560B438BD;R81 15X6,0 4X100 ET38 BLACK DIAMOND;30D       
R821460B439BD;R82 14X6,0 4X100 ET39 BLACK DIAMOND;10E       
R821460B439GDC;R82 14X6,0 4X100 ET39 GRAPHITE DIAM CLAR;12D       
R821460B439GDE;R82 14X6,0 4X100 ET39 GRAPHITE DIAM ESC;11D       
R821560B439BD;R82 15X6,0 4X100 ET39 BLACK DIAMOND;31E e 33D 
R821560B439GDC;R82 15X6,0 4X100 ET39 GRAPHITE DIAMO CLA;40D,E     
R821560B439GDE;R82 15X6,0 4X100 ET39 GRAPHITE DIAM ESC;40E       
R831560B436BD;R83 15X6,0 4X100 ET36 BLACK DIAMOND;37E e 41D 
R831760B442BD;R83 17X6,0 4X100 ET42 BLACK DIAMOND;65D       
R831770B440BD;R83 17X7,0 4X100 ET40 BLACK DIAMOND;50E       
R841460F5H27BD;R84 14X6,0 5X112 H ET27 BLACK DIAMOND;10D e 13E 
R841460P4Y27BD;R84 14X6,0 4X130 Y ET27 BLACK DIAMOND;10E       
R841460P4Y27GD;R84 14X6,0 4X130 Y ET27 GRAPHITE DIAMOND;12E/11D   
R841460P4Y27SD;R84 14X6,0 4X130 Y ET27 SILVER DIAMOND;12E       
R841560P436;R84 15X6,0 4X130 ET36 BRUTA;C2        
R841560P436BD;R84 15X6,0 4X130 ET36 BLACK DIAMOND;29/32/37/3
R841560P436GD;R84 15X6,0 4X130 ET36 GRAPHITE DIAMOND;33E       
R841560P436P;R84 15X6 4X130 ET36 POLIDA;31
R841560P436SD;R84 15X6,0 4X130 ET36 SILVER DIAMOND;33D       
R841760P442;R84 17X6,0 4X130 ET42 BRUTA;C1        
R841760P442BD;R84 17X6,0 4X130 ET42 BLACK DIAMOND;51E       
R841760P442GD;R84 17X6,0 4X130 ET42 GRAPHITE DIAMOND;6E        
R841760P442P;R84 17X6,0 4X130 ET42 POLIDA;23E       
R841760P442SD;R84 17X6,0 4X130 ET42 SILVER DIAMOND;53E       
R851770B442SS;R85 17X7,0 4X100 ET 42 SILVER STAR;
R862075F540BD;R86 20X7,5 5X112 ET40 BLACK DIAMOND;
R871670L540BD;R87 16X7,0 5X120 ET40 BLACK DIAMOND;R 4D      
R871870L540B;R87 18X7,0 5X120 ET40 BLACK F.L;58D       
R871870L540BD;R87 18X7,0 5X120 ET40 BLACK DIAMOND F.L;56D       
R872085L540B;R87 20X8,5 5X120 ET40 BLACK;17D       
R872085L540BD;R87 20X8,5 5X120 ET40 BLACK DIAMOND;16D       
R872290L545B;R87 22X9,0 5X120 ET45 BLACK;34E       
R872290L545BD;R87 22X9,0 5X120 ET45 BLACK DIAMOND;34E       
R881460A435BD;R88 14X6,0 4X98 ET35 BLACK DIAMOND;12D       
R891660B539BD;R89 16X6,0 5X100 ET39 BLACK DIAMOND;7D        
R891660B539GD;R89 16X6,0 5X100 ET39 GRAPHITE DIAMOND;6D        
R891770B545BD;R89 17X7,0 5X100 ET45 BLACK DIAMOND;6E        
R911460A435BD;R91 14X6,0 4X98 ET35 BLACK DIAMOND;13D       
R921460A435B;R92 14X6,0 4X98 ET35 BLACK;10D       
R921460A435BD;R92 14X6,0 4X98 ET35 BLACK DIAMOND;13D       
R921560A436B;R92 15X6,0 4X98 ET36 BLACK;28E       
R921560A436BD;R92 15X6,0 4X98 ET36 BLACK DIAMOND;37D,E     
R921760A444B;R92 17X6,0 4X98 ET44 BLACK F.L;6D        
R921760A444BD;R92 17X6,0 4X98 ET44 BLACK DIAMOND F.L;2E        
R931460B430BD;R93 14X6,0 4X100 ET30 BLACK DIAMOND;12E / 14D 
R931460B430GD;R93 14X6,0 4X100 ET30 GRAPHITE DIAMOND;13E       
R931560B438BD;R93 15X6,0 4X100 ET38 BLACK DIAMOND;30E       
R931560B538B;R93 15X6,0 5X100 ET38 BLACK;33D,E     
R931560B538BD;R93 15X6,0 5X100 ET38 BLACK DIAMOND;31D/E  37D
R931770B438B;R93 17X7,0 4X100 ET38 BLACK;7D        
R931770B438BD;R93 17X7,0 4X100 ET38 BLACK DIAMOND;63E       
R931770B538B;R93 17X7,0 5X100 ET38 BLACK;44D       
R931770B547BD;R93 17X7,0 5X100 ET47 BLACK DIAMOND;45D/45E   
R931770F547BD;R93 17X7,0 5X112 ET47 BLACK DIAMOND;1E,D      
R931770F547GD;R93 17X7,0 5X112 ET47 GRAPHITE DIAMOND;5D        
R931870B440BD;R93 18X7,0 4X100 ET40 BLACK DIAMOND;64E       
R931870B547BD;R93 18X7,0 5X100 ET47 BLACK DIAMOND;61D       
R931870F547BD;R93 18X7,0 5X112 ET47 BLACK DIAMOND;60D       
R931870F547GD;R93 18X7,0 5X112 ET47 GRAPHITE DIAMOND;18E       
R932075B440BD;R93 20X7,5 4X100 ET40 BLACK DIAMOND;15E       
R932075B540BD;R93 20X7,5 5X100 ET40 BLACK DIAMOND;
R932075B547BD;R93 20X7,5 5X100 ET47 BLACK DIAMOND;21E       
R932075F547BD;R93 20X7,5 5X112 ET47 BLACK DIAMOND;19E       
R932075F547GD;R93 20X7,5 5X112 ET47 GRAPHITE DIAMOND;19D       
R941560B438B;R94 15X6,0 4X100 ET38 BLACK;40E       
R941560B438BD;R94 15X6,0 4X100 ET38 BLACK DIAMOND;27/32/40  
R941560B438BDS;R94 15X6,0 4X100 ET38 BLACK DIA SMOKE;37D e 38D 
R941560B538B;R94 15X6 5X100 ET38 BLACK;32D       
R941560B538BD;R94 15X6,0 5X100 ET38 BLACK DIAMOND;40E       
R941560B538BDS;R94 15X6,0 5X100 ET38 BLACK DIA SMOKE;32D,E     
R941560B538GD;R94 15X6,0 5X100 ET38 GRAPHITE DIAMOND;29 / 30D  
R941770B438B;R94 17X7,0 4X100 ET38 BLACK;52D       
R941770B438BD;R94 17X7,0 4X100 ET38 BLACK DIAMOND;65D       
R941770B438BDS;R94 17X7,0 4X100 ET38 BLACK DIAMOND SMOK;45E       
R941770B438GD;R94 17X7,0 4X100 ET38 GRAPHITE DIAMOND;1D        
R941770B538B;R94 17X7,0 5X100 ET38 BLACK;4D        
R941770B538BD;R94 17X7,0 5X100 ET38 BLACK DIAMOND;49D,E / 51
R941770B538BDS;R94 17X7,0 5X100 ET38 BLACK D SMOKE;49D 51 54D
R941770F538BD;R94 17X7,0 5X112 ET38 BLACK DIAMOND;52E       
R961460B435BD;R96 14X6,0 4X100 ET35 BLACK DIAMOND;10D       
R961460B435GD;R96 14X6,0 4X100 ET35 GRAPHITE DIAMOND;CONT      
